Year,Economic Freedom Summary Index,1  Size of Government,2  Legal System & Property Rights,3  Sound Money,4  Freedom to trade internationally,5  Regulation,Return,Risk
2020,7.65,5.64,7.75,9.23,7.98,7.66,-0.8869986596,0.8771159671
2019,7.89,6.0,7.71,9.41,8.34,7.99,0.1618951035,0.1230552361
2018,7.92,6.05,7.71,9.39,8.32,8.12,-0.1528779594,0.1363349042
2017,7.97,6.07,7.85,9.26,8.38,8.29,0.1434006508,0.08447638977
2016,8.0,6.21,7.88,9.48,8.3,8.14,0.1772994134,0.1553172368
2015,8.01,6.23,7.95,9.65,8.21,8.03,-0.0838024236,0.235525612
2014,7.96,6.29,8.01,9.61,8.34,7.56,0.149126176,0.1304135099
2013,7.92,6.31,7.99,9.59,7.99,7.72,0.1968133824,0.1116351786
2012,7.89,6.13,8.06,9.49,8.08,7.71,0.2039259902,0.1362274037
2011,7.92,6.22,8.06,9.56,8.16,7.61,-0.08739972783,0.2567955016
2010,7.84,6.19,8.07,9.59,8.19,7.14,0.2618550402,0.1370923494
2009,7.78,6.16,8.2,9.53,8.22,6.77,0.2928394234,0.2687683489
2008,7.7,6.38,8.02,9.51,8.19,6.41,-0.3668259791,0.2276846764
2007,7.74,6.38,8.16,9.5,8.28,6.39,0.009226561105,0.1891981217
2006,7.78,6.52,8.21,9.47,8.36,6.36,0.1964981504,0.09064906536
2005,7.81,6.46,8.21,9.53,8.38,6.49,0.3335722226,0.1143250586
2004,7.9,6.41,8.15,9.54,9.01,6.4,0.04835411109,0.09832833611
2003,7.91,6.16,8.12,9.59,9.37,6.31,0.4770200423,0.2751162778
2002,7.86,6.06,8.08,9.59,9.36,6.21,-0.4620125359,0.3421848507
2001,7.8,6.04,8.07,9.56,9.33,6.0,-0.2483437045,0.2619458512
2000,7.94,5.83,8.23,9.55,9.44,6.62,-0.00591900644,0.1929406045
